row_index,in_roi,roi_width_px,x_scale_m_per_px,y_scale_m_per_px
241,1,904,0.00530525,0.02630442
242,1,905,0.00529757,0.02622966
243,1,906,0.00528991,0.02615538
244,1,907,0.00528223,0.02608062
245,1,909,0.00527613,0.02601129
246,1,910,0.00526855,0.02593749
247,1,911,0.00526100,0.02586463
248,1,912,0.00525348,0.02579178
249,1,913,0.00524593,0.02571845
250,1,915,0.00524000,0.02565055
251,1,916,0.00523256,0.02557818
252,1,917,0.00522519,0.02550675
253,1,917,0.00521627,0.02543085
254,1,917,0.00520744,0.02535494
255,1,917,0.00519868,0.02528046
256,1,917,0.00518992,0.02520551
257,1,917,0.00518124,0.02513104
258,1,917,0.00517254,0.02505704
259,1,917,0.00516393,0.02498304
260,1,917,0.00515534,0.02491000
261,1,917,0.00514675,0.02483648
262,1,917,0.00513824,0.02476391
263,1,917,0.00512976,0.02469135
264,1,917,0.00512131,0.02461926
265,1,917,0.00511289,0.02454717
266,1,917,0.00510455,0.02447604
267,1,917,0.00509619,0.02440443
268,1,917,0.00508792,0.02433377
269,1,917,0.00507963,0.02426312
270,1,917,0.00507142,0.02419294
271,1,917,0.00506319,0.02412276
272,1,917,0.00505505,0.02405306
273,1,917,0.00504693,0.02398383
274,1,917,0.00503884,0.02391461
275,1,917,0.00503078,0.02384586
276,1,917,0.00502275,0.02377712
277,1,917,0.00501479,0.02370933
278,1,917,0.00500683,0.02364154
279,1,917,0.00499886,0.02357327
280,1,917,0.00499102,0.02350643
281,1,917,0.00498315,0.02343959
282,1,917,0.00497531,0.02337228
283,1,917,0.00496753,0.02330640
284,1,917,0.00495975,0.02324004
285,1,917,0.00495202,0.02317368
286,1,917,0.00494436,0.02310875
287,1,917,0.00493667,0.02304287
288,1,917,0.00492904,0.02297794
289,1,917,0.00492146,0.02291349
290,1,917,0.00491386,0.02284857
291,1,917,0.00490634,0.02278459
292,1,917,0.00489882,0.02272015
293,1,917,0.00489136,0.02265713
294,1,917,0.00488390,0.02259316
295,1,917,0.00487649,0.02253014
296,1,917,0.00486911,0.02246760
297,1,917,0.00486174,0.02240458
298,1,917,0.00485441,0.02234204
299,1,917,0.00484711,0.02228045
300,1,917,0.00483985,0.02221792
301,1,917,0.00483261,0.02215681
302,1,917,0.00482539,0.02209570
303,1,917,0.00481820,0.02203412
304,1,917,0.00481105,0.02197348
305,1,917,0.00480392,0.02191285
306,1,917,0.00479682,0.02185223
307,1,917,0.00478976,0.02179255
308,1,917,0.00478271,0.02173240
309,1,917,0.00477570,0.02167320
310,1,917,0.00476870,0.02161352
311,1,917,0.00476174,0.02155432
312,1,917,0.00475481,0.02149560
313,1,917,0.00474791,0.02143688
314,1,917,0.00474102,0.02137864
315,1,917,0.00473417,0.02132087
316,1,917,0.00472733,0.02126263
317,1,917,0.00472053,0.02120486
318,1,917,0.00471374,0.02114710
319,1,917,0.00470700,0.02109029
320,1,917,0.00470028,0.02103348
321,1,917,0.00469357,0.02097666
322,1,917,0.00468689,0.02091985
323,1,917,0.00468024,0.02086352
324,1,917,0.00467362,0.02080766
325,1,917,0.00466703,0.02075181
326,1,917,0.00466045,0.02069643
327,1,917,0.00465390,0.02064105
328,1,917,0.00464737,0.02058567
329,1,917,0.00464087,0.02053029
330,1,917,0.00463440,0.02047634
331,1,917,0.00462793,0.02042144
332,1,917,0.00462150,0.02036702
333,1,917,0.00461510,0.02031307
334,1,917,0.00460871,0.02025960
335,1,917,0.00460236,0.02020566
336,1,917,0.00459602,0.02015219
337,1,917,0.00458971,0.02009872
338,1,917,0.00458342,0.02004620
339,1,917,0.00457715,0.01999321
340,1,917,0.00457091,0.01994070
341,1,917,0.00456468,0.01988818
342,1,917,0.00455848,0.01983567
343,1,917,0.00455231,0.01978411
344,1,917,0.00454615,0.01973255
345,1,917,0.00454001,0.01968051
346,1,917,0.00453390,0.01962943
347,1,917,0.00452781,0.01957835
348,1,917,0.00452174,0.01952727
349,1,917,0.00451571,0.01947618
350,1,917,0.00450968,0.01942606
351,1,917,0.00450368,0.01937545
352,1,917,0.00449769,0.01932532
353,1,917,0.00449173,0.01927567
354,1,917,0.00448579,0.01922555
355,1,917,0.00447988,0.01917590
356,1,917,0.00447397,0.01912672
357,1,917,0.00446810,0.01907707
358,1,917,0.00446223,0.01902838
359,1,918,0.00445749,0.01898173
360,1,918,0.00445166,0.01893351
361,1,918,0.00444588,0.01888482
362,1,918,0.00444009,0.01883660
363,1,918,0.00443434,0.01878838
364,1,918,0.00442859,0.01874040
365,1,918,0.00442287,0.01869290
366,1,918,0.00441717,0.01864516
367,1,919,0.00441040,0.01859537
368,1,919,0.00440473,0.01854835
369,1,919,0.00439911,0.01850156
370,1,919,0.00439348,0.01845454
371,1,919,0.00438788,0.01840799
372,1,919,0.00438229,0.01836144
373,1,919,0.00437673,0.01831514
374,1,919,0.00437118,0.01826907
375,1,919,0.00436566,0.01822300
376,1,919,0.00436014,0.01817740
377,1,919,0.00435465,0.01813181
378,1,919,0.00434919,0.01808622
379,1,919,0.00434372,0.01804111
380,1,919,0.00433827,0.01799599
381,1,919,0.00433286,0.01795112
382,1,919,0.00432746,0.01790624
383,1,919,0.00432206,0.01786184
384,1,919,0.00431672,0.01781744
